Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
scarry-plastic-frida-dolls,Plastic Frida Dolls,"Wonderful Frida Plastic Dolls with Typical Mexican Outfit! Dresses are elaborated with polyester and cotton cloths. They are 33cm tall, which include a plastic base, crinoline skirt, and earrings (Charra Frida Comes with Hat).",Mercadito Mexicano,,"","",true,Color,#1 (China Poblana [XIX Century]),,,,,"",200.0,shopify,0,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/1_97956f2e-8c99-4eb0-a7bb-999abf6ab2aa.png?v=1661310612,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/1_97956f2e-8c99-4eb0-a7bb-999abf6ab2aa.png?v=1661310612,g,,,,,active
scarry-plastic-frida-dolls,,,,,,,,,#2 (Frida Típica Mex.),,,,,"",200.0,shopify,0,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/2_3f025cd0-c04e-4632-bb6e-99e4be1e4aa7.png?v=1661310614,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/2_3f025cd0-c04e-4632-bb6e-99e4be1e4aa7.png?v=1661310614,g,,,,,
scarry-plastic-frida-dolls,,,,,,,,,#3 (Frida Chiapaneca),,,,,"",200.0,shopify,1,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/3_307a7d2e-bcd1-4ce1-ad0d-bc3e02f84968.png?v=1661310614,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/3_307a7d2e-bcd1-4ce1-ad0d-bc3e02f84968.png?v=1661310614,g,,,,,
scarry-plastic-frida-dolls,,,,,,,,,#4 (Frida Jarocha),,,,,"",200.0,shopify,0,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/4_e88de825-8b7d-4e31-8858-1d11640cf974.png?v=1661310614,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/4_e88de825-8b7d-4e31-8858-1d11640cf974.png?v=1661310614,g,,,,,
scarry-plastic-frida-dolls,,,,,,,,,#5 (Frida Nayarita),,,,,"",200.0,shopify,0,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/5_f2fb42f4-bf56-4ccf-8474-f99db2a34f45.png?v=1661310614,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/5_f2fb42f4-bf56-4ccf-8474-f99db2a34f45.png?v=1661310614,g,,,,,
scarry-plastic-frida-dolls,,,,,,,,,#6 (Frida Charra),,,,,"",200.0,shopify,0,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/7_61ac9bdf-bbb2-4261-899e-0b7a4b74b9b1.png?v=1661310614,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/7_61ac9bdf-bbb2-4261-899e-0b7a4b74b9b1.png?v=1661310614,g,,,,,
scarry-plastic-frida-dolls,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/8_85324838-ccab-4cd5-9c79-10ba994bffcc.png?v=1661310614,7,,,,,,,,,,,,,,,,,,,,,,,,
scarry-plastic-frida-dolls,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/9_e427b568-8123-41fd-bd48-26ce7f47e458.png?v=1661310614,8,,,,,,,,,,,,,,,,,,,,,,,,
scarry-plastic-frida-dolls,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/10_379c5418-6557-4b68-968d-918b821c2fbe.png?v=1661310614,9,,,,,,,,,,,,,,,,,,,,,,,,
scarry-plastic-frida-dolls,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/11_1249cf1c-6fb1-41ad-a756-1ebf89dd8892.png?v=1661310614,10,,,,,,,,,,,,,,,,,,,,,,,,
